Country,Name
Estonia,34
Ecuador,15
Trinidad,28
Latvia,32
Cambodia,1
Croatia,35
Taiwan,1
American Samoa,1
Palestine,12
Lithuania,38
Malaysia,47
Japan,218
Togo,16
Uruguay,39
Thailand,18
Denmark,136
Saint Vincent,8
Portugal,102
Antigua,7
Kazakhstan,69
Vanuatu,1
North Korea,9
Brunei,5
Nigeria,153
Kuwait,173
Argentina,184
Mauritius,6
Tajikistan,9
Maldives,8
Macedonia,1
Russia,533
Colombia,75
Equatorial Guinea,3
Romania,171
Chile,64
Palau,2
Zimbabwe,7
Bahrain,36
Gambia,1
Malta,7
Djibouti,10
Sierra Leone,7
Gabon,3
Puerto Rico,61
Monaco,18
Democratic Republic of the Congo,10
United Arab Emirates,48
Seychelles,14
India,73
Dominica,2
Greece,166
Belgium,94
Sao Tome and Principe,1
Central African Republic,4
South Africa,44
Myanmar,4
Turkmenistan,8
Saint Lucia,2
Honduras,12
Iceland,31
Dominican Republic,14
Iran,102
Mauritania,4
New Zealand,74
Yemen,25
Saudi Arabia,152
Spain,391
Azerbaijan,36
Nepal,5
Austria,93
Georgia,14
Sri Lanka,3
Barbados,11
Eritrea,6
Benin,17
Luxembourg,19
Paraguay,14
Liechtenstein,2
NA,2
Laos,2
Ireland,27
Guam,6
UK,469
Samoa,7
South Korea,100
Canada,302
Tonga,1
Malawi,3
Lebanon,29
Germany,398
Pakistan,133
Jordan,32
Cyprus,25
Cape Verde,3
Moldova,5
Iraq,58
Belize,2
Tanzania,9
Ghana,93
Madagascar,10
Oman,52
Poland,144
Timor-Leste,1
Solomon Islands,3
Sudan,27
Indonesia,26
Republic of Congo,11
France,529
Philippines,55
Mongolia,32
Cuba,137
Turkey,180
Andorra,6
Ivory Coast,27
Somalia,10
Bermuda,8
Fiji,6
Serbia,81
Montenegro,2
Cameroon,33
Tunisia,45
Bosnia and Herzegovina,4
Morocco,84
Guyana,11
Liberia,2
Senegal,16
Chad,5
Brazil,255
Afghanistan,23
Slovakia,44
Egypt,257
Mali,4
Netherlands,100
El Salvador,13
Zambia,2
Niger,10
Suriname,5
Guinea,11
Venezuela,42
Hungary,234
Rwanda,1
Panama,11
Libya,15
Armenia,25
Boliva,13
"Virgin Islands, British",5
Jamaica,34
Belarus,62
Cayman Islands,4
Czech Republic,122
Guatemala,14
San Marino,5
Angola,19
Bahamas,17
Ethiopia,46
Qatar,83
Slovenia,11
Uzbekistan,44
Kyrgyzstan,21
Costa Rica,22
Saint Kitts,4
Mozambique,4
Sweden,479
Haiti,5
Switzerland,206
Bangladesh,12
Curacao,3
Micronesia,1
Grenada,3
USA,623
Finland,131
Nicaragua,11
China,38
Comoros,8
Uganda,30
Botswana,9
Norway,223
Algeria,60
Individual Olympic Athletes,9
Syria,47
Australia,283
Kenya,46
Namibia,7
Peru,41
